Menu Item ID,Name,Display Name,Space,Brand Name,Type,Category,Ready for Sale,Combo Item,Number of Pieces,Is this a Promotion,Discounted Product,Promotion Type,Packaging Type,Number of units,Diet,Description,Recipe
menu-item-1774462717948-yu3z8wude,Empanadas Carne X6,Empanadas carne x6,PFC|SFP|Adidas Arena,Classico,Food,Autre food chaude,No,No,1.000,No,,,,,,,ing-1777102958160-10rm4m4hp>Ingredient>1776678749344-w1hmvm2ys>1776678749344-w1hmvm2ys>6.000
menu-1777997440408-zccn2bddc,Jipernel 50cl X2 HH (LM),Bière 50cl,Le Mans FC,Jipernel,Beverage,Beer,No,No,1.000,Yes,Jipernel 50cl (LM),Happy-Hour,,,,,comp-1777997440408-6n11ny55o>Packaging>pkg-1775288910887-6hf3gtxl1>2.000
menu-item-1764197332079-uhk51ik3s,Croque Madame Veggie,Croque veggie,space-1762366011612|SFP|PFC|Adidas Arena,EIF,Food,Veggie Main,No,No,1.000,No,,,,,,,comp-1780305959499-2ktltr2gt>Component>1780305924363>1.000|pkg-1780305972781-wroxyfiv4>Packaging>1779439661214-4hnv6zxzo>1.000
menu-item-1763921853320-kn3lb4zuh,Planche de Fromage,Planche de Fromage,space-1762366011612|SFP|PFC,EIF,Food,Autre food froide,No,No,1.000,No,,,,,,,ing-1780405467970-6bvlo1v9j>Ingredient>1776433597779-4yvekossf>1776433597779-4yvekossf>1.000
1777204542518,Cookie (indus),Cookie,La Beaujoire Nantes,La compagnie des desserts,Food,Snack sucré,Yes,No,1.000,No,,,,1.000,,,ing-1777204477137-exrvyooq5>Ingredient>1776679692790-5p9vr8ens>1776679692790-5p9vr8ens>1.000
menu-item-1770217907554-ukjwmf2t1,Tenders X2,Tenders x2,PFC|Auxerre|Le Mans FC,Lost,Food,Tenders,No,No,1.000,No,,,,,,,ing-1780305367933-ujqjvn3eo>Ingredient>1775222925626-36-i6fdlrny1>1775222925626-36-i6fdlrny1>0.300
menu-1777042893081-tuikozheo,Thé (Paris),Thé,Adidas Arena|space-1762366011612|PFC,,Beverage,Tea/Coffee,No,No,1.000,No,,,,,,,comp-1777042893081-b16vlxmoz>Ingredient>1776684949963-ymoz6q5n3>1776684949963-ymoz6q5n3>1.000|comp-1777042893081-jsdduh9yg>Ingredient>1776685074854-ukf931mia>1776685074854-ukf931mia>1.000
menu-item-1763921853322-k6fam0zu8,Souvenir 50cl,Ecocup personnalisé,SFP,,Glasses,Ecocup,Yes,No,1.000,No,,,,,,,pkg-1776775793410-awm4i3dp0>Packaging>pkg-1775666651917-0a2l7vxbi>1.000
menu-item-1763921853321-2wqju7ouk,Mini Croque,Mini croque,SFP|space-1762366011612|PFC,Croc wich,Food,Croque,No,No,1.000,No,,,,,,,ing-1777202057560-bmmpvthvd>Ingredient>1775222924996-2-gq761jzy3>1775222924996-2-gq761jzy3>1.000
menu-item-1763921539281-hslhi6282,Burger Veggie (Paris),Burger végétarien,Adidas Arena|SFP|space-1762366011612|PFC,EIF,Food,Veggie Main,No,No,1.000,No,,,,,,,ing-1777049698993-c7z9dhocz>Ingredient>1775222925238-17-3l8rxovab>1775222925238-17-3l8rxovab>1.000|comp-1780307526997-rt64xb0gt>Component>1780300973614>0.120|comp-1780307536844-021na3wcg>Component>1776766835589>0.020|comp-1780307545223-nl2jiw1sk>Component>1780301845611>0.015|comp-1780484445073-d3hpomtkj>Component>1776765976166>0.010
menu-1777043437692-j9qadiejq,Redbull 25cl (Aix),Redbull 25cl,space-1762366011612|Aix Arena,Redbull,Beverage,Soft Drink,No,No,1.000,No,,,,,,,comp-1777043437692-lf1sgzkqv>Ingredient>1776348790235-q9p6gqj56>1776348790235-q9p6gqj56>1.000|comp-1777043437692-eh9sls2dg>Packaging>pkg-1775288910887-6hf3gtxl1>1.000
menu-item-1764023745383-exhrd1k2m,Eau Chaudfontaine gaz,Eau gazeuse,Adidas Arena|space-1762366011612,Chaudfontaine,Beverage,Water,No,No,1.000,No,,,,,,,pkg-1776775757303-5jybtrn51>Packaging>pkg-1775288910887-6hf3gtxl1>1.000
menu-item-1765371014552-n591luf8i,Eau Chaudfontaine plate,Eau gazeuse,Adidas Arena,Chaudfontaine,Beverage,Water,No,No,1.000,No,,,,,,,pkg-1777043785276-hkgutywki>Packaging>pkg-1775288910887-6hf3gtxl1>1.000
menu-item-1771407745284-gobu0byfo,Burger fish,Burger fish,PFC,,Food,Burger,No,No,1.000,No,,,,,,,ing-1777050000760-bgr8q0nzp>Ingredient>1775222925238-17-3l8rxovab>1775222925238-17-3l8rxovab>1.000
menu-item-1776252775533-azzgtkyf3,Eau gazeuse BWT 50cl,Eau gazeuse,SFP,BWT,Beverage,Water,No,No,1.000,No,,,,,,,pkg-1776771752579-7nt952gif>Packaging>pkg-1775288910887-6hf3gtxl1>1.000
