ID,ID Transaction,Référence de transaction,Date/heure transaction,ID acheteur,Acheteur ID porte-monnaie,Prénom acheteur,Nom acheteur,Activité vendeuse,Type de marchand,ID point de vente,Nom point de vente,Type de point de vente,Sous-type de point de vente,Moyen de paiement,ID vendeur,Prénom vendeur,Nom vendeur,ID article,Article,SKU article,Nature,Famille d'article,Menu,ID Transaction Menu,Monnaie,Prix unitaire HT (promotion incluse),Prix unitaire TTC (promotion incluse),Quantité,Taux de TVA,Total HT (promotion incluse),Montant TVA (promotion incluse),Total TTC (promotion incluse)
15328,6091,A37T162E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,592,Manager,115,27,Bud 45CL,,BEVERAGE,BIÈRES,,,EUR,6.25 €,7.50 €,1,20.00%,6.25 €,1.25 €,7.50 €
15329,6092,A59T291E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,2,20.00%,1.67 €,0.33 €,2.00 €
15330,6092,A59T291E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,1,CONTAINER 1,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,27,Bud 45CL,,BEVERAGE,BIÈRES,,,EUR,6.25 €,7.50 €,2,20.00%,12.50 €,2.50 €,15.00 €
15331,6093,A44T232E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,7,118,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,578,Corentin,Rabot,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,3,20.00%,2.50 €,0.50 €,3.00 €
15332,6093,A44T232E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,7,118,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,578,Corentin,Rabot,41,Bud 33CL,,BEVERAGE,BIÈRES,,,EUR,5.42 €,6.50 €,3,20.00%,16.25 €,3.25 €,19.50 €
15333,6094,A46T130E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,567,Lylia,Ben Messaoud,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,1,20.00%,0.83 €,0.17 €,1.00 €
15334,6094,A46T130E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,567,Lylia,Ben Messaoud,5,Eau,,BEVERAGE,BOISSON,,,EUR,1.90 €,2.00 €,1,5.50%,1.90 €,0.10 €,2.00 €
15335,6095,A61T151E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,24,CONTAINER 3,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,591,Manager,CONT 3,5,Eau,,BEVERAGE,BOISSON,,,EUR,1.90 €,2.00 €,1,5.50%,1.90 €,0.10 €,2.00 €
15336,6095,A61T151E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,24,CONTAINER 3,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,591,Manager,CONT 3,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,3,20.00%,2.50 €,0.50 €,3.00 €
15337,6095,A61T151E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,24,CONTAINER 3,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,591,Manager,CONT 3,27,Bud 45CL,,BEVERAGE,BIÈRES,,,EUR,6.25 €,7.50 €,2,20.00%,12.50 €,2.50 €,15.00 €
15338,6096,A46T132E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,567,Lylia,Ben Messaoud,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,2,20.00%,1.67 €,0.33 €,2.00 €
15339,6096,A46T132E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,16,115,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,567,Lylia,Ben Messaoud,27,Bud 45CL,,BEVERAGE,BIÈRES,,,EUR,6.25 €,7.50 €,2,20.00%,12.50 €,2.50 €,15.00 €
15340,6097,A40T374E2O1776173,22/08/26 20:40,0,0,,,BUVETTE,Interne,6,111,FOOD,GENERAL_PUBLIC,Cash,573,Manager,111,5,Eau,,BEVERAGE,BOISSON,,,EUR,1.90 €,2.00 €,1,5.50%,1.90 €,0.10 €,2.00 €
